Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
0.0,68.0,-0.01581878587603569,-0.005023675970733166,-0.0017494126223027706,-0.007972955703735352,-0.0034892887342721224,0.00012193918519187719,0.3590974807739258,-0.014702100306749344,-0.005394162610173225,0.03858748450875282,-0.0035060071386396885,-0.003553912276402116,0.00031765649328008294,0.3594017028808594,0.025002161040902138,0.0001591945911059156,0.014237286522984505,0.08361472189426422,0.05908852070569992,0.0968220978975296,0.07606932520866394,0.015500018373131752,-0.0001452946016797796,0.05389849841594696,0.03630194067955017,0.08308117836713791,0.08344586193561554,0.017374519258737564,0.015364738181233406,0.07658073306083679,0.08815900981426239,0.01972924917936325,0.01450100913643837,0.007586346007883549,0.0001324254262726754,0.0023200970608741045,0.0025610881857573986,0.05412351340055466,0.04402899369597435,0.000726659782230854,-0.0034302626736462116,-0.003502362174913287,-0.0033427649177610874,0.2054632008075714,0.17056745290756226,0.17104358971118927,0.0034788292832672596,0.01922658644616604,0.017304878681898117,-0.0038387118838727474,-0.004496295936405659,-6.302465044427663e-05,-7.16051786753269e-08,7.86102560823565e-09,1.3459383580993745e-06,-0.025015749037265778,-0.03214259073138237,-0.0015312442556023598,-0.015707112848758698,-0.03219091147184372,-0.004046968184411526,6.085784912109375,1.4709854125976562,16.573848724365234,1.7600581645965576,24.625316619873047,7.360476970672607,35.0784912109375
1.0,68.0,-0.015689335763454437,3.2681506127119064e-05,-0.0007435752777382731,-0.008327538147568703,-0.0038459133356809616,-0.003453211858868599,0.26903432607650757,-0.014387611299753189,-0.00016729533672332764,0.02620355784893036,-0.0041367532685399055,-0.0038624678272753954,-0.0032895863987505436,0.2693140208721161,0.02080809324979782,0.00012146861990913749,0.016095643863081932,0.06499665230512619,0.03539247810840607,0.09021946787834167,0.04504074528813362,0.012411840260028839,-0.000123408914078027,0.07822838425636292,0.059112101793289185,0.04780535399913788,0.04726823419332504,0.016938159242272377,0.01542424876242876,0.06978203356266022,0.08242708444595337,0.012067538686096668,0.010061664506793022,0.005177820101380348,-0.000255915685556829,0.0019059509504586458,0.0020843283273279667,0.06533613801002502,0.057178713381290436,0.011876774951815605,0.00700057577341795,-0.0034614214673638344,-0.0033341480884701014,0.20217759907245636,0.17222237586975098,0.17271101474761963,0.0024894578382372856,0.025014109909534454,0.023890264332294464,-0.0025407453067600727,-0.001611193991266191,-0.00012597627937793732,-5.8689174409209954e-08,5.552027282362815e-09,1.5177113255049335e-06,-0.017308128997683525,-0.015054830349981785,-0.0012265007244423032,-0.009051384404301643,-0.015099016018211842,-0.0018930704100057483,6.8768463134765625,1.8845303058624268,16.862468719482422,1.9423017501831055,23.49311065673828,8.06967544555664,33.19792556762695
2.0,68.0,-0.015135485678911209,0.012616225518286228,0.0005066122394055128,-0.008547123521566391,-0.004298311658203602,-0.007671689614653587,0.144953191280365,-0.013559925369918346,0.012662219814956188,0.010940809734165668,-0.004742537625133991,-0.004273964092135429,-0.007547901943325996,0.14517733454704285,0.014661969617009163,3.684170951601118e-05,0.01838165707886219,0.041140880435705185,0.009965101256966591,0.07111197710037231,-0.0001912271836772561,0.007450326345860958,-4.304442336433567e-05,0.10759326815605164,0.08670908212661743,-0.00036631105467677116,-0.002418904099613428,0.01573597826063633,0.014921173453330994,0.05938464403152466,0.07297930121421814,0.001166728907264769,0.004276803694665432,0.0014128126204013824,-0.0008384532993659377,0.0010430290130898356,0.0010727329645305872,0.07005584985017776,0.06551587581634521,0.02227463200688362,0.01649785228073597,-0.0032190175261348486,-0.003107381286099553,0.20349109172821045,0.18190056085586548,0.18239979445934296,0.0008201219607144594,0.032873112708330154,0.032541580498218536,-0.002281026216223836,0.00033184574567712843,-0.00017529629985801876,-3.297948936165085e-08,1.5818403253931024e-09,1.672127041274507e-06,-0.007984286174178123,0.006973368115723133,-0.0007844081846997142,-0.0008734590373933315,0.0069295791909098625,0.0009730845922604203,7.335604667663574,2.1195766925811768,16.17816925048828,2.089858293533325,28.29153060913086,9.040889739990234,26.81084442138672
3.0,68.0,-0.014266926795244217,0.025852423161268234,0.00036252051359042525,-0.00852197501808405,-0.004427332431077957,-0.009754524566233158,0.09651808440685272,-0.012481271289288998,0.026025541126728058,0.008574798703193665,-0.004754089284688234,-0.004375007934868336,-0.009649367071688175,0.09673846513032913,0.011651450768113136,-3.055310662603006e-05,0.018170885741710663,0.03654633089900017,0.010177362710237503,0.06602713465690613,-0.001231394475325942,0.006169191561639309,3.116314474027604e-05,0.10604721307754517,0.0848967432975769,-0.005571803078055382,-0.0077981408685445786,0.014867009595036507,0.014237586408853531,0.058114733546972275,0.07069332897663116,-0.0020423238165676594,0.0023223762400448322,0.0003836913383565843,-0.0009417618275620043,0.0005473736673593521,0.0004671119386330247,0.06335568428039551,0.05885101854801178,0.017865700647234917,0.011767823249101639,-0.002843866590410471,-0.0027542721945792437,0.22461596131324768,0.20433387160301208,0.20486357808113098,9.229706483893096e-05,0.03432373329997063,0.03267893195152283,-0.004807326477020979,-0.0026196048129349947,-0.00016506051179021597,-1.905929813972307e-08,1.5153631127695633e-10,1.6842905097291805e-06,-0.007069060113281012,0.015386025421321392,-0.0009763295529410243,0.00021182149066589773,0.015331488102674484,0.0017512934282422066,7.325280666351318,1.9391286373138428,14.850391387939453,2.122382640838623,32.98046112060547,9.705479621887207,23.149658203125
4.0,68.0,-0.013850100338459015,0.031961940228939056,-1.721054286463186e-05,-0.008715723641216755,-0.004643231630325317,-0.010678761638700962,0.0857248455286026,-0.012613514438271523,0.03219444677233696,0.012408846989274025,-0.0046016620472073555,-0.004565291106700897,-0.010608633980154991,0.08597487211227417,0.01097095012664795,-4.583723784890026e-05,0.01785152405500412,0.04465566202998161,0.021994996815919876,0.07065458595752716,0.005248053465038538,0.006722831167280674,0.0001352060935460031,0.09287264943122864,0.07116203755140305,-0.00497352983802557,-0.007135826162993908,0.01408943347632885,0.013317473232746124,0.0645105168223381,0.07642178237438202,-0.0026950740721076727,0.0011185589246451855,-0.0002819471701513976,-0.0012725748820230365,0.000203952775336802,5.017113289795816e-05,0.06493549048900604,0.05884086340665817,0.011392916552722454,0.004720346070826054,-0.0026258344296365976,-0.0026223273016512394,0.24620458483695984,0.23017604649066925,0.23074351251125336,-0.00036474227090366185,0.03584524244070053,0.031991370022296906,-0.006652425043284893,-0.005096534267067909,-0.00014560218551196158,-7.356673936698144e-09,9.83214065719551e-10,1.5887126210145652e-06,-0.009699981659650803,0.017087362706661224,-0.0013664651196449995,-0.0019525539828464389,0.017028778791427612,0.0015415505040436983,7.585799217224121,1.8637783527374268,14.185190200805664,2.1770262718200684,34.377479553222656,10.008790969848633,22.060264587402344
5.0,68.0,-0.014052053913474083,0.027899250388145447,0.00011870459275087342,-0.009036395698785782,-0.004767383448779583,-0.010403633117675781,0.08785901218652725,-0.013213174417614937,0.02815212681889534,0.01566639542579651,-0.004595723003149033,-0.004667405970394611,-0.010348623618483543,0.08818452060222626,0.011786752380430698,-6.081129686208442e-05,0.01784813404083252,0.060524508357048035,0.03662687540054321,0.08002189546823502,0.010499185882508755,0.008200407959520817,0.00033428851747885346,0.07925692200660706,0.05624214559793472,-0.0048723481595516205,-0.00698524946346879,0.013727176934480667,0.012784400954842567,0.0738825798034668,0.08547955751419067,-0.0031795722898095846,0.0007695346721448004,-0.0013966548722237349,-0.0017528135795146227,-0.0002960501587949693,-0.0004895843449048698,0.07956935465335846,0.07175358384847641,0.006923041306436062,-0.0002702341298572719,-0.002395711839199066,-0.002496402245014906,0.25968989729881287,0.24835743010044098,0.24894499778747559,-0.0008475251379422843,0.03837580606341362,0.0331469401717186,-0.00735311396420002,-0.0061293067410588264,-9.503017645329237e-05,-3.3465448190383995e-09,1.8798083090132423e-09,1.601589815436455e-06,-0.011812197044491768,0.012845483608543873,-0.0015567379305139184,-0.003536961041390896,0.012789905071258545,0.0007297152769751847,8.435115814208984,1.9428263902664185,13.929636001586914,2.3314945697784424,34.51198196411133,10.002801895141602,21.434246063232422
6.0,68.0,-0.01503970567137003,0.014755930751562119,0.0003734160272870213,-0.008952823467552662,-0.004911717027425766,-0.009593276306986809,0.0976245254278183,-0.013950720429420471,0.01497495174407959,0.016700437292456627,-0.00495673343539238,-0.00481999758630991,-0.009515384212136269,0.0980372279882431,0.012983057647943497,-7.830077083781362e-05,0.017803214490413666,0.07661072909832001,0.049102626740932465,0.08593378961086273,0.010776443406939507,0.009944340214133263,0.00043352789361961186,0.07307460159063339,0.04910045117139816,-0.005188952200114727,-0.00701570138335228,0.014209030196070671,0.013070319779217243,0.08257409930229187,0.09329326450824738,-0.0035197301767766476,0.0021920548751950264,-0.002546064555644989,-0.002077738754451275,-0.0010251973289996386,-0.0012565061915665865,0.10282436013221741,0.09381237626075745,0.004968392662703991,-0.002253560582175851,-0.0021129250526428223,-0.002272580284625292,0.26116546988487244,0.2513784170150757,0.2519635558128357,-0.0011429430451244116,0.04107367992401123,0.035915762186050415,-0.007394392043352127,-0.006486476399004459,-5.548096669372171e-05,-9.491914809700575e-09,1.3313867786024502e-09,1.5955797607603017e-06,-0.012384876608848572,0.004303616937249899,-0.001309725223109126,-0.0037957397289574146,0.004246930591762066,-0.00016709257033653557,8.54043960571289,2.0064048767089844,12.826231002807617,2.365105152130127,37.04399108886719,10.18699836730957,19.837947845458984
7.0,68.0,-0.015753181651234627,0.0015918316785246134,0.0005641321185976267,-0.008975696749985218,-0.005364113952964544,-0.009273630566895008,0.11661139875650406,-0.014793256297707558,0.0017209016950801015,0.017480969429016113,-0.005412320140749216,-0.005303948186337948,-0.009185235016047955,0.11707992106676102,0.013713984750211239,-8.169554348569363e-05,0.016957905143499374,0.08739984035491943,0.05549351125955582,0.08411207795143127,0.005606336053460836,0.011354494839906693,0.00042922754073515534,0.0779072642326355,0.054053761065006256,-0.005509214475750923,-0.006979535333812237,0.015757620334625244,0.014486555010080338,0.08857499063014984,0.09745803475379944,-0.0029464378021657467,0.004746427293866873,-0.003257208038121462,-0.0022164462134242058,-0.0017140395939350128,-0.001912579988129437,0.12577806413173676,0.11691190302371979,0.003939053509384394,-0.0028427178040146828,-0.0023277855943888426,-0.002519234549254179,0.2495078146457672,0.23592665791511536,0.2364974319934845,-0.0012480270816013217,0.04308386147022247,0.038955315947532654,-0.007713121362030506,-0.007093040272593498,-5.126079122419469e-05,-1.0042391807019158e-08,3.7369515815122156e-10,1.5428803408212843e-06,-0.012698852457106113,-0.004498711787164211,-0.001044880016706884,-0.00423779059201479,-0.0045472849160432816,-0.0010327515192329884,7.8463287353515625,2.0063772201538086,12.218194961547852,2.36263370513916,38.776527404785156,10.438129425048828,19.047414779663086
8.0,68.0,-0.01620505005121231,-0.004507400095462799,0.00015653198352083564,-0.009301796555519104,-0.005766202695667744,-0.009306593798100948,0.13819795846939087,-0.015311278402805328,-0.004474466200917959,0.019344348460435867,-0.005578933283686638,-0.005716382525861263,-0.009216440841555595,0.13869407773017883,0.014154978096485138,-8.144299499690533e-05,0.015112027525901794,0.09526775032281876,0.053903188556432724,0.08187903463840485,-0.0015277679776772857,0.012064430862665176,0.0003396743559278548,0.09326370805501938,0.07020128518342972,-0.005444591864943504,-0.006882458925247192,0.017930224537849426,0.01664617657661438,0.09110169112682343,0.09812173247337341,-0.0011470902245491743,0.0070404475554823875,-0.0034551110584288836,-0.002553037367761135,-0.0021511961240321398,-0.0022839512676000595,0.1486126184463501,0.14117619395256042,0.004895078018307686,-0.0011629743967205286,-0.00278226425871253,-0.002949899761006236,0.22812572121620178,0.20740744471549988,0.20795580744743347,-0.0011658462462946773,0.044829800724983215,0.042467452585697174,-0.008291265927255154,-0.008007542230188847,-5.239893653197214e-05,-9.882011653417067e-09,-1.9420065555664223e-09,1.4349539014801849e-06,-0.013827872462570667,-0.010127969086170197,-0.0012219188502058387,-0.005702902562916279,-0.010159224271774292,-0.001955361571162939,7.776560306549072,2.0258359909057617,13.19404411315918,2.443777561187744,38.22941589355469,10.253885269165039,18.52815818786621
9.0,68.0,-0.01678641512989998,-0.005830966867506504,-0.0010680779814720154,-0.009349899366497993,-0.0058097997680306435,-0.008645746856927872,0.15495792031288147,-0.015741266310214996,-0.005895203910768032,0.02172330766916275,-0.0054816510528326035,-0.005760421510785818,-0.00855178851634264,0.15543238818645477,0.015608144924044609,-4.8208188673015684e-05,0.01486304122954607,0.1075282096862793,0.044331636279821396,0.09331617504358292,-0.005660588853061199,0.011295494623482227,0.00023431620502378792,0.11374754458665848,0.0931251049041748,-0.0051933350041508675,-0.006794014945626259,0.01998942159116268,0.018766649067401886,0.09102063626050949,0.0979451984167099,-0.0011496752267703414,0.008542733266949654,-0.0033445502631366253,-0.0032013726886361837,-0.001971245277673006,-0.002041757572442293,0.1921958029270172,0.18748405575752258,0.019732220098376274,0.014643924310803413,-0.002908294554799795,-0.0030140383169054985,0.20542386174201965,0.17826518416404724,0.17876528203487396,-0.0008754119044169784,0.04734553396701813,0.0472254678606987,-0.008401036262512207,-0.008305742405354977,-7.585393905173987e-05,-3.398171077861889e-09,-5.359055421649828e-09,1.3081403267278802e-06,-0.015364241786301136,-0.009669240564107895,-0.001838713069446385,-0.007560356520116329,-0.009688363410532475,-0.002566881477832794,8.126471519470215,1.9928977489471436,15.184377670288086,2.3587212562561035,38.495628356933594,9.416675567626953,16.798770904541016
