Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,-2.350781791449208e-08,1.3895833035348915e-06,-2.3290890283078625e-07,-1.0810395911775572e-09,5.248166345950267e-09,5.635675259796358e-10,7.215885666767008e-10,-2.5805444447968284e-09,7.389753808872968e-10,-6.266236418639437e-10,8.032747800257312e-09,9.695441116619463e-10,1.146599898360634e-10,-5.704733130329487e-09,0.004206088371574879,-0.00010045584349427372,0.0031234859488904476,0.01820250041782856,0.00017593908705748618,0.0068082064390182495,-4.261874346411787e-05,0.0023925548885017633,3.486936475383118e-05,0.025381553918123245,0.022083338350057602,-6.651442618021974e-06,-0.0001131608005380258,0.007111388258635998,0.006894440855830908,0.023484820500016212,0.02411823719739914,0.00013099340139888227,0.0023049539886415005,-0.00010452086280565709,-0.00015390905900858343,2.1261521396809258e-05,9.988397505367175e-05,0.054076503962278366,0.05295444652438164,0.004014444071799517,0.00400631595402956,0.0012521572643890977,0.0012911333469673991,0.02962575852870941,0.007356896996498108,0.0073745278641581535,-0.00016147429414559156,0.005723842419683933,0.007154638879001141,2.5365257897647098e-05,-0.00018739813822321594,1.7580735089950394e-08,-9.78426140108013e-09,3.9657983563756716e-09,-3.4300871032399982e-09,-1.6769525768012272e-09,-4.357596505855099e-09,5.2740691813824014e-09,-2.4627980210745193e-10,9.186882365952442e-09,1.7223428239176997e-09,-3.1312531518778997e-06,2.62733607314658e-07,-2.099783614539774e-06,4.171388923168706e-07,20.06389617919922,-0.010072385892271996,-0.00019197464280296117
00:00:00:02.033,68,-5.937313218851159e-08,2.975611550937174e-06,-4.5767836809318396e-07,-2.41390707422795e-09,1.642074920482628e-08,-6.973205346483269e-10,8.792503392029971e-10,-5.705141692402549e-09,-2.89939627862168e-10,-2.5000290726495678e-09,2.605439775038576e-08,2.222750872249435e-09,4.389758001543953e-10,-1.587656939250337e-08,0.008825942873954773,-0.0001893482549348846,0.006158891133964062,0.0383722297847271,0.0003211637958884239,0.013421490788459778,-0.0001276135299121961,0.00467008026316762,5.850995148648508e-05,0.04980039224028587,0.04340938851237297,-4.0825457858773007e-07,-0.00022745593742001802,0.014463411644101143,0.014038888737559319,0.04848691076040268,0.04913431406021118,0.00022145798720885068,0.004504866432398558,-0.00020797690376639366,-0.0003479601873550564,0.00010192997433478013,0.00023335548758041114,0.11137580871582031,0.10909755527973175,0.009289213456213474,0.009289225563406944,0.0022272407077252865,0.002302146516740322,0.05925769731402397,0.017159435898065567,0.01719028502702713,-0.0003159148618578911,0.01085881981998682,0.013412445783615112,3.5110278986394405e-05,-0.00034870230592787266,2.184599701138268e-08,-2.2611640559944135e-08,4.033536171732521e-09,-4.752446436384616e-09,5.927122126436757e-10,-9.942939804830075e-09,8.955671759736106e-09,2.6744428893721306e-09,1.4396851710785086e-08,6.362831150852344e-09,-6.9741267907375e-06,3.898383624800772e-07,-3.918391485058237e-06,1.4199142697179923e-06,40.091487884521484,-0.02247641049325466,-0.007326221559196711
00:00:00:03.050,68,-9.46007787661074e-08,4.834165338252205e-06,-6.344779990286042e-07,-3.4984657393266616e-09,2.6045531953400314e-08,-1.1431946500550794e-09,-1.3591698877490899e-09,-1.0226745672525794e-08,-3.184141006418173e-10,1.5446153245335381e-09,3.660584013687185e-08,3.632158129818208e-09,1.902037194412287e-09,-2.5266530201406567e-08,0.013791574165225029,-0.00027333974139764905,0.00926233921200037,0.05861320346593857,0.00039538199780508876,0.018528420478105545,-0.00026102326228283346,0.006343173794448376,2.1239809939288534e-05,0.07623589038848877,0.06681716442108154,3.344809738337062e-05,-0.0003182982327416539,0.021913522854447365,0.021386926993727684,0.0728287547826767,0.07354729622602463,0.00023220834555104375,0.0065717268735170364,-0.00031179608777165413,-0.0005260148900561035,0.00018026419274974614,0.0003400453133508563,0.1688365489244461,0.16611348092556,0.015723595395684242,0.015537062659859657,0.00308414688333869,0.0032159534748643637,0.08521106094121933,0.028157975524663925,0.028199853375554085,-0.00048733816947788,0.01595504954457283,0.019626032561063766,9.903258614940569e-05,-0.0003666509874165058,1.9127375239236244e-08,-3.985886820601081e-08,3.5667153674978636e-09,-1.4478503951309563e-09,1.2063910981297e-09,-1.2894814993558157e-08,7.50990025721876e-09,6.732347568316754e-09,2.3850597941077467e-08,1.1436652513907575e-08,-7.922217264422216e-06,4.0239615373138804e-07,-6.047799161024159e-06,1.970854782484821e-06,60.09416580200195,-0.031439103186130524,-0.011019605211913586
00:00:00:04.066,68,-1.3779802543467667e-07,6.3920138018147554e-06,-1.0448113698657835e-06,2.1809838379738267e-09,4.4038500845999806e-08,5.363125943347313e-09,-1.00140713499286e-08,-1.0616395762497177e-08,-5.952566439759721e-09,1.0075849488089261e-08,3.6599988817442863e-08,4.856299362643313e-09,1.4270791215409417e-09,-5.19647933572287e-08,0.020081572234630585,-0.0003946924116462469,0.011705847457051277,0.07623617351055145,0.000706441467627883,0.01990639977157116,-0.0002498502435628325,0.00849482137709856,-3.996586019638926e-05,0.1090477928519249,0.09629228711128235,4.453165820450522e-05,-0.00048254296416416764,0.029419612139463425,0.028689255937933922,0.09647957980632782,0.09746567904949188,0.0005952668725512922,0.008941685780882835,-9.20274542295374e-05,-0.0007732413941994309,0.0002794377214740962,0.0005791242001578212,0.23718366026878357,0.23397481441497803,0.025540173053741455,0.025004541501402855,0.0019748101476579905,0.0021771632600575686,0.12273993343114853,0.058950960636138916,0.059031736105680466,-0.0007059539784677327,0.023730959743261337,0.02845689281821251,0.00021600064064841717,-0.0004913784796372056,5.0815646801538605e-08,-6.433810284534047e-08,1.1203699301631787e-08,1.4181563479098713e-08,-3.3050109315979626e-09,-1.0322526833306256e-08,-3.73857078628248e-09,7.155211534382033e-09,5.515140699685617e-08,3.244122481760314e-08,-8.150434950948693e-06,6.081698415982828e-07,-1.2074584446963854e-05,2.908113401645096e-06,80.07162475585938,-0.0299653522670269,-0.005726599600166082
00:00:00:04.083,68,-2.0762352903602732e-07,7.404104053421179e-06,-1.211080416396726e-06,1.0669119233919222e-11,5.439127903628105e-08,1.0292989793825313e-09,5.303223105102006e-08,4.4415074285097944e-08,-6.250666206852884e-09,9.177529292081488e-10,2.0180044302264832e-08,8.220901293043426e-09,1.1919810027904987e-08,-5.643603628868732e-08,0.028269313275814056,-0.00045869394671171904,0.01483102235943079,0.09187238663434982,0.0008706737426109612,0.022529149428009987,-0.0007309576612897217,0.010300926864147186,9.002965816762298e-05,0.15413875877857208,0.1371687352657318,-0.00010855665459530428,-0.0005560040008276701,0.03574316203594208,0.03518659994006157,0.11693257093429565,0.11991481482982635,0.000512507336679846,0.011008311063051224,1.7718635717756115e-05,-0.0010699029080569744,0.00022019798052497208,0.0004915517056360841,0.31114712357521057,0.3090609610080719,0.038610827177762985,0.037961408495903015,0.002809460274875164,0.003046277677640319,0.17409545183181763,0.10123515874147415,0.10138512402772903,-0.0005535450181923807,0.03422161191701889,0.038693927228450775,4.634033757611178e-05,-0.0006050750380381942,1.1635196983661444e-07,-1.598311314410239e-07,1.3493463235647596e-08,1.8846773031100383e-08,-6.16508089024137e-08,-3.983265273177494e-09,-8.965712083863764e-08,-2.3761328904470247e-08,1.5217121074329043e-07,3.596219499968356e-08,-2.1754133285867283e-06,1.0730402664194116e-06,-1.5980793250491843e-05,3.90963623431162e-06,100.15869903564453,-0.03889745473861694,-0.011090874671936035
00:00:00:06.100,68,-1.5537058573045215e-07,6.29262922302587e-06,-1.3289264870763873e-06,1.5547957366024434e-10,5.131298053129285e-08,-1.489008805144465e-09,8.526623673787981e-08,6.146379405436164e-08,-1.3917588193024244e-09,1.2587450193279892e-08,3.7203786718009724e-08,1.005366900841409e-08,1.7409336194873504e-08,-6.315865874739757e-08,0.032563962042331696,-0.0005351006984710693,0.017918862402439117,0.09393104910850525,0.0007094366010278463,0.025699052959680557,-0.0006485616904683411,0.009848165325820446,0.00013718097761739045,0.16712762415409088,0.14861224591732025,-0.0004360385937616229,-0.0006299876258708537,0.03618602082133293,0.03580990433692932,0.11840447783470154,0.12475147843360901,0.00023080654500517994,0.011332163587212563,-0.00021779809321742505,-0.000775350199546665,0.0001375805732095614,0.0002581592707429081,0.32464465498924255,0.32405853271484375,0.047231465578079224,0.046069350093603134,0.0009399457485415041,0.0011656258720904589,0.22147031128406525,0.1454257220029831,0.14562825858592987,-0.0004928510752506554,0.040715333074331284,0.04384830594062805,0.00010436605953145772,0.00019341860024724156,1.4266325365497323e-07,-1.2489005030147382e-07,1.3012170008153134e-08,5.960149707107121e-09,-5.102829447878321e-08,-7.888855790838534e-09,-6.260078322384288e-08,-2.3734166632038978e-08,1.0248804471757467e-07,4.0645964816121705e-08,-1.3146045603207313e-05,8.480938049615361e-07,-1.455184246879071e-05,3.589376092349994e-06,100.13407135009766,-0.04592788219451904,-0.046172380447387695
00:00:00:07.116,68,-1.5956328525135177e-07,5.958018391538644e-06,-1.2583203670146759e-06,-3.064250853057615e-09,3.9840251986333897e-08,4.2123917687320045e-09,6.912904382261331e-08,3.739241094535828e-08,-4.670873909873308e-09,2.1860409038509943e-09,3.1829333835275975e-08,1.1681473566227396e-08,1.2738646582022284e-08,-5.3299586966204515e-08,0.035246215760707855,-0.0005738649051636457,0.022083640098571777,0.10094556957483292,0.0004306522896513343,0.036711398512125015,-0.0004071872972417623,0.008701813407242298,-2.2849531887914054e-05,0.18106897175312042,0.1618906855583191,-0.00016142180538736284,-0.00031792334630154073,0.03561510890722275,0.0351993553340435,0.11793965101242065,0.1262771040201187,-3.015659785887692e-05,0.010742101818323135,-0.00039735104655846953,-0.0010552519233897328,0.00010099494829773903,0.00019705707381945103,0.36215704679489136,0.36277633905410767,0.08558846265077591,0.0833132266998291,0.0003259170043747872,0.0005654779961332679,0.23425714671611786,0.16169631481170654,0.16189859807491302,-0.00025893739075399935,0.049457624554634094,0.0518217533826828,0.00039283407386392355,0.0014135596575215459,9.543679624357537e-08,-1.1396177512779104e-07,6.2697655955901155e-09,1.1723352288939282e-09,-3.593983421978919e-08,-3.090887901180395e-08,-3.435555839814697e-08,-2.051130465474671e-08,6.594197543563496e-08,3.818195182248019e-08,5.187599072087323e-06,7.641019692528062e-07,-1.0839664355444256e-05,4.133971742703579e-06,100.08267211914062,-0.033162057399749756,-0.04876917600631714
00:00:00:08.133,68,-1.401442233373018e-07,4.262635684426641e-06,-1.2932495110362652e-06,-1.7999606249929911e-09,1.8041436788962528e-08,4.7299626437791176e-09,6.216442471895789e-08,2.4026387990261355e-08,-6.441366551257488e-09,1.4168519690826997e-08,2.419990607904765e-08,1.0438326647488338e-08,1.13660867384624e-08,-3.849735463745674e-08,0.039275530725717545,-0.0006205313839018345,0.024876432493329048,0.1111212894320488,0.00034558065817691386,0.04571207985281944,-0.00023711200628895313,0.00855671614408493,2.5059340259758756e-05,0.19690483808517456,0.1802525669336319,-0.00013147835852578282,-0.0003483711916487664,0.035883016884326935,0.035544637590646744,0.1150331050157547,0.12282401323318481,-0.00010110132279805839,0.010161477141082287,-0.00030510249780490994,-0.0008898206287994981,-8.073544449871406e-05,0.00019290724594611675,0.405027836561203,0.4050189256668091,0.11639676243066788,0.11461401730775833,0.0002552199293859303,0.000597695354372263,0.24480150640010834,0.1761595755815506,0.17640803754329681,-0.0001355400454485789,0.05862346291542053,0.06119342893362045,0.0023356706369668245,0.00757509283721447,7.960527170780551e-08,-8.780079951975495e-08,4.116245566621046e-09,-1.9065817813412878e-09,-8.0352720033261e-09,-4.618982529791538e-08,1.6156242566012224e-08,4.688461174851e-09,2.554401845600296e-08,3.418919547470978e-08,1.3477014363161288e-05,7.160504083003616e-07,-9.509855772193987e-06,3.5895436667487957e-06,100.07059478759766,-0.03856450319290161,-0.0353163480758667
00:00:00:09.150,68,-1.3619055039271188e-07,4.088207788299769e-06,-8.725241968932096e-07,2.8613732910853784e-11,5.059831664766534e-09,4.178045909242201e-09,4.8636660920919894e-08,1.669015681216024e-08,-8.546694907352048e-09,2.9308164783969914e-08,3.17176507280692e-08,8.796408046407578e-09,5.083545584483318e-09,-3.9335741774948474e-08,0.045840710401535034,-0.0006277439533732831,0.027358541265130043,0.1201145201921463,-3.000998913194053e-05,0.05395622178912163,-0.00020183440938126296,0.008036461658775806,-3.9862450648797676e-05,0.21258291602134705,0.1980157345533371,-0.00016005849465727806,-0.0003278585500083864,0.03577075153589249,0.03539280965924263,0.11211059242486954,0.11961793899536133,-0.0002562687441240996,0.009341539815068245,-0.0005808139103464782,-0.00036691411514766514,-0.00012469863577280194,0.00032481097150593996,0.4352782070636749,0.43441087007522583,0.15055982768535614,0.15006347000598907,-8.159205026458949e-05,0.00037951432750560343,0.24942445755004883,0.18942709267139435,0.18970270454883575,-0.00021920926519669592,0.0672755241394043,0.07134445756673813,0.014349119737744331,0.02596183866262436,2.4415903965291363e-08,-1.2282457717560646e-08,3.7095970739642325e-09,1.4181203766838735e-08,3.380731428137551e-08,-6.109253547492699e-08,7.819142666676271e-08,2.9082181995931933e-08,-4.090140848234114e-08,2.6187347401673833e-08,1.8057384295389056e-05,5.108495315653272e-07,-8.182228157238569e-06,2.8423733056115452e-06,100.06735229492188,-0.005731761455535889,-0.023574739694595337
